seed,arm,idx,smiles,reos_flag
43,baseline,35,[H]C1=C([H])C(C([H])([H])C([H])([H])[H])=C([H])C([H])=C1N([H])[H],0
43,baseline,36,[H]C1=C([H])C([H])=C(C([H])([H])[H])C(C(=O)C([H])([H])C([H])([H])[H])=C1[H],0
43,baseline,37,[H]N1C(=O)N([H])C([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C1=O,0
43,baseline,38,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],0
43,baseline,39,[H]N(C(=O)C([H])([H])Cl)C([H])([H])[H],0
43,baseline,40,[H]C1=C([H])C([H])=C(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],0
43,baseline,41,[H]OC([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,42,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,43,[H]OC([H])([H])C([H])([H])N([H])C(=O)OC([H])([H])C([H])([H])[H],0
43,baseline,44,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,45,[H]OC([H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[N+]([H])([H])[H],0
43,baseline,46,[H]C1=C(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],0
43,baseline,47,[H]C1=C([H])C([H])=C(C2=NN([H])C(C([H])([H])C([H])([H])[H])=N2)C([H])=C1[H],0
43,baseline,48,[H]C(=NC1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C([H])C([H])=C1C([H])([H])[H],0
43,baseline,49,[H]C1=C(C(=O)OC([H])([H])[H])C(C(=O)OC([H])([H])[H])=C([H])S1,0
43,baseline,50,[H]C([H])([H])OC(=O)C([H])([H])C(=O)C([H])([H])[H],0
43,baseline,51,[H]N([H])C(=S)N([H])C(=S)N([H])C([H])([H])C([H])([H])[H],0
43,baseline,52,[H]C1=C([H])C2=C(C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=NOC2=O)C([H])=C1[H],0
43,baseline,53,[H]C1=NC2=C([H])C([H])=C([H])N=C2N1C([H])([H])C([H])([H])C(=O)OC([H])([H])[H],0
43,baseline,54,[H]OC([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])[H],0
43,baseline,55,[H]C1=C([H])C(Br)=C(C(=O)OC([H])([H])C([H])([H])[H])C([H])=C1[H],0
43,baseline,56,[H]N([H])C(=O)C([H])([H])C([H])(N([H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,57,[H]OC(=O)C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,58,[H]N(C(=S)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,59,[H]C1=C([H])C([H])=C([H])C(SC([H])([H])C(=O)OC([H])([H])C([H])([H])[H])=N1,0
43,baseline,60,[H]C1=NSC(N([H])C(=O)OC([H])([H])[H])=N1,0
43,baseline,61,[H]C([H])([H])C([H])([H])OC(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0
43,baseline,62,[H]C(=NN([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,63,[H]C(=NN([H])S(=O)(=O)C1=C([H])C([H])=C([H])C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,64,[H]C1=C([H])N(C([H])([H])C([H])([H])[H])C([H])=C1C(=O)N([H])[H],0
43,baseline,65,[H]N1N=C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])SC1=S,0
43,baseline,66,[H]C([H])([H])C1([H])SS1,0
43,baseline,67,[H]N([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[H],0
43,baseline,68,[H]OC([H])([H])C([H])(S[H])N([H])[H],0
43,baseline,69,[H]N([H])C([H])([H])C([H])([H])N([H])[H],0
43,baseline,70,[H]C1=C([H])C(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])=C([H])C([H])=C1Br,0
43,baseline,71,[H]C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])[H],0
43,baseline,72,[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C(=O)C([H])([H])[H],0
43,baseline,73,[H]N1C(=S)N(C([H])([H])C([H])([H])[H])C(=O)C1([H])C([H])([H])[H],0
43,baseline,74,[H]N(C(=O)OC([H])([H])[H])C(=S)SC([H])(C#N)C#N,0
43,baseline,75,[H]C1=C(OC([H])([H])C([H])([H])[H])C(C(=O)OC([H])([H])[H])=C([H])C(C([H])([H])[H])=C1[H],0
43,baseline,76,[H]C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])[H],0
43,baseline,77,[H]OC(=O)C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,78,[H]C([H])([H])N(C(=O)C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])[H],0
43,baseline,79,[H]OC(=O)C([H])(N([H])C(=S)SC([H])([H])C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])[H],0
43,baseline,80,[H]N(C(=O)C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],0
43,baseline,81,[H]ON=C([H])C([H])(N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H],0
43,baseline,82,[H]N(C(=O)OC([H])([H])[H])C(=S)N([H])C([H])([H])C([H])([H])[H],0
43,baseline,83,[H]OC(=O)C([H])([H])Cl,0
43,baseline,84,[H]OC([H])([H])C([H])([H])N([H])C(=O)OC([H])([H])C([H])([H])[H],0
43,baseline,85,[H]OC([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,86,[H]N([H])C(=S)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,87,[H]C1=C([H])C([H])=C(C2([H])N(C(=O)N([H])[H])C(=O)C(=O)N2C([H])([H])[H])C([H])=C1[H],0
43,baseline,88,[H]C1=NN([H])C(SC([H])([H])C([H])([H])OC([H])([H])[H])=N1,0
43,baseline,89,[H]N(C(=O)C1=C(C([H])([H])[H])N=C(N=C(C([H])([H])[H])C([H])([H])[H])S1)C([H])([H])[H],0
43,baseline,90,[H]N1C(=O)C([H])(C([H])([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],0
43,baseline,91,[H]C1=C(SC([H])([H])C([H])([H])[H])C(C(=O)OC([H])([H])C([H])([H])[H])=C(C([H])([H])[H])N([H])C1=O,0
43,baseline,92,[H]C([H])(S)C([H])([H])Cl,0
43,baseline,93,[H]C([H])([H])N(C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,94,[H]C([H])([H])OC([H])([H])C([H])([H])Br,0
43,baseline,95,[H]OC(=O)C([H])([H])OC([H])([H])[H],0
43,baseline,96,[H]OC([H])([H])C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,97,[H]OC(=O)C([H])([H])C([H])([H])O[H],0
43,baseline,98,[H]OC(=O)C([H])([H])[H],0
43,baseline,99,[H]N([H])C(=O)N([H])[H],0
43,baseline,100,[H]OC(C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,101,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],0
43,baseline,102,[H]OC([H])([H])C([H])([H])C([H])(N([H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,103,[H]C1=C([H])C(C([H])([H])C([H])([H])[H])=C2C(=C1[H])C([H])([H])C(=O)N2[H],0
43,baseline,104,[H]C1=NC2=C([H])C([H])=C([H])C([H])=C2N1C([H])([H])C([H])([H])N([H])C([H])([H])[H],0
43,baseline,105,[H]N1C(=O)C([H])(C([H])([H])[H])C([H])(C(=O)OC([H])([H])[H])C1([H])[H],0
43,baseline,106,[H]N(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,107,[H]SC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,108,[H]C1=C([H])C([H])=C(C(=O)C(=NOC([H])([H])[H])N([H])[H])S1,0
43,baseline,109,[H]C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C1([H])[H],0
43,baseline,110,[H]C1=C([H])C2=C(C(OC([H])([H])[H])=C1OC([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H],0
43,baseline,111,[H]N([H])C([H])([H])C([H])([H])N([H])[H],0
43,baseline,112,[H]C1=C(C([H])([H])[H])C([H])=C(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])S1,0
43,baseline,113,[H]C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,114,[H]ON=C(C(=O)O[H])C([H])([H])[H],0
43,baseline,115,[H]C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,116,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[N+]([H])([H])[H],0
43,baseline,117,[H]N([H])C(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,118,[H]OC([H])(C([H])([H])N([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,119,[H]C1=NN(C([H])([H])C([H])([H])C([H])([H])[H])C(=O)C2=C([H])C([H])=C([H])C([H])=C12,0
43,baseline,120,[H]OC(=O)C([H])([H])SC1=NC(C([H])([H])C([H])([H])C([H])([H])[H])=C([H])S1,0
43,baseline,121,[H]N([H])C(=S)N([H])[H],0
43,baseline,122,[H]C1=NC([H])=C([H])C(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H])=C1[H],0
43,baseline,123,[H]N([H])C(=O)N([H])[H],0
43,baseline,124,[H]C1=C([H])C([H])=C(N2C(=S)N([H])C([H])([H])C2([H])C(=O)OC([H])([H])[H])C([H])=C1[H],0
43,baseline,125,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,126,[H]C([H])([H])C([H])([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,127,[H]C1=NC([H])=C([H])C([H])=C1C([H])([H])C(=O)C(=O)N([H])C([H])([H])C([H])=C([H])[H],0
43,baseline,128,[H]C1=C([H])C([H])=C(N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])=C1[H],0
43,baseline,129,[H]N([H])C(=NN([H])C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,130,[H]C1=C(Cl)SC(C(=O)C([H])([H])C([H])([H])[H])=C1[H],0
43,baseline,131,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],0
43,baseline,132,[H]N([H])P(=O)(SC([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,133,[H]OC(=O)C1=C(C2=C([H])C([H])=C([H])O2)SC(C(=O)OC([H])([H])C([H])([H])[H])=C1[H],0
43,baseline,134,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H],0
43,baseline,135,[H]C([H])([H])OC(=O)C([H])([H])C([H])([H])N1C([H])([H])C(=O)C([H])([H])C([H])([H])C1([H])[H],0
43,baseline,136,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],0
43,baseline,137,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,138,[H]N1C(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],0
43,baseline,139,[H]N([H])C(=S)N([H])C(=O)N([H])C([H])([H])[H],0
43,baseline,140,[H]C1=NC2=C(N=C(N([H])[H])S2)N1N(C([H])([H])[H])C([H])([H])C([H])([H])[H],0
43,baseline,141,[H]C([H])([H])C1([H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],0
43,baseline,142,[H]C1=C([H])C([H])=C(C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])[H])C([H])=C1[H],0
43,baseline,143,[H]OC([H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])C([H])([H])[H],0
43,baseline,144,[H]C([H])([H])SC1=NN=C(SC([H])([H])C([H])([H])[H])S1,0
43,baseline,145,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,146,[H]C([H])([H])C([H])([H])[N+]([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,147,[H]N([H])C(=S)N([H])[H],0
43,baseline,148,[H]C1=C([H])SC(N([H])C(=S)N(C([H])([H])[H])C([H])([H])[H])=N1,0
43,baseline,149,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])SC([H])([H])C([H])([H])[H],0
43,baseline,150,[H]N1C(=O)C2=C(N=C1C([H])([H])C([H])([H])[H])N(C([H])([H])C([H])([H])C([H])([H])[H])N=C2C([H])([H])[H],0
43,baseline,151,[H]C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0
43,baseline,152,[H]C([H])([H])C(=O)C([H])([H])C1=NON=C1C([H])([H])[H],0
43,baseline,153,[H]OC(C1=C([H])C([H])=C([H])C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,154,[H]C1=C([H])C([H])=C(C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])C([H])=C1[H],0
43,baseline,155,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,156,[H]C1=C(SC([H])([H])[H])N=C(C([H])([H])C([H])([H])[H])N=C1C([H])([H])[H],0
43,baseline,157,[H]C(=NN(C([H])([H])[H])C([H])([H])[H])C1=C([H])C(Cl)=C([H])C([H])=C1Cl,0
43,baseline,158,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H],0
43,baseline,159,[H]OC(=O)C([H])([H])C([H])([H])[H],0
43,baseline,160,[H]OC([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,161,[H]C1=C(C(=O)OC([H])([H])[H])N2C(=NC([H])([H])C2([H])[H])S1,0
43,baseline,162,[H]OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,163,[H]C1=C([H])C2=C(C(=O)N(C([H])([H])C([H])([H])C([H])([H])[H])C2=O)C([H])=C1[H],0
43,baseline,164,[H]C1=NN(C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=S)N([H])C1=O,0
43,baseline,165,[H]OC([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,166,[H]C([H])=C([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C([H])=C1Cl,0
43,baseline,167,[H]OC1=C([H])C(C(=O)C([H])([H])[H])=C([H])C(C(=O)OC([H])([H])[H])=C1[H],0
43,baseline,168,[H]N([H])C(=S)N([H])C([H])([H])C([H])([H])N([H])[H],0
43,baseline,169,[H]C1=C([H])C([H])=C(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],0
43,baseline,170,[H]C(=C(OC(=O)C([H])([H])[H])C(=O)C([H])([H])[H])C([H])([H])[H],0
43,baseline,171,[H]C1=NC([H])=C([H])C(C2=NOC(C([H])([H])OC([H])([H])[H])=N2)=C1[H],0
43,baseline,172,[H]N([H])C(=O)SC([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,173,[H]C1=C(C(=O)C([H])([H])[H])C(=O)N([H])C(C([H])([H])[H])=C1[H],0
43,baseline,174,[H]N(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,175,[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,176,[H]C1=NC([H])=C([H])N=C1N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,177,[H]OC([H])([H])C([H])(N([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],0
43,baseline,178,[H]OC([H])([H])C([H])([H])SC1=C([H])C([H])=C([H])C([H])=C1OC([H])([H])[H],0
43,baseline,179,[H]N1C(=O)N(C([H])([H])[H])C(=O)C([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C1=O,0
43,baseline,180,[H]C(=C1ON=C(N([H])C(=O)C([H])([H])[H])SC1([H])[H])C([H])([H])[H],0
43,baseline,181,[H]C1=NC2=C(N=C(C([H])([H])[H])C([H])=C2[H])N1C([H])([H])C([H])([H])[H],0
43,baseline,182,[H]N(C(=S)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,183,[H]C1=C(Br)OC(C(=O)OC([H])([H])C([H])([H])[H])=C1[H],0
43,baseline,184,[H]OC1=C([H])C([H])=C([H])C([H])=C1C(=O)OC([H])([H])C([H])([H])[H],0
43,baseline,185,[H]N([H])C(=S)N([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,186,[H]C1=NC2=C(C(OC([H])([H])[H])=C1[H])N(C([H])([H])C([H])([H])C([H])([H])[H])C([H])=N2,0
43,baseline,187,[H]C1=C([H])C(C(=O)OC([H])([H])C(=O)OC([H])([H])[H])=C([H])C([H])=C1Br,0
43,baseline,188,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],0
43,baseline,189,[H]C([H])([H])C1(C([H])([H])[H])SC([H])([H])C([H])([H])C1([H])[H],0
43,baseline,190,[H]C1=C([H])C([H])=C2C(=C1[H])N=C(C([H])([H])C([H])([H])C([H])([H])[H])N2[H],0
43,baseline,191,[H]C1=C(C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(Br)O1,0
43,baseline,192,[H]C1=NN([H])C(=S)N1C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0
43,baseline,193,[H]C1=C([H])C([H])=C(N2N=C(C([H])([H])[H])C3=C([H])C([H])=C([H])C([H])=C3C2=O)C([H])=C1[H],0
43,baseline,194,[H]C1=C(C([H])([H])[H])OC(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H])=N1,0
43,baseline,195,[H]C1=C(N([H])[H])SC(C(=O)OC([H])([H])[H])=N1,0
43,baseline,196,[H]N(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,197,[H]C([H])([H])C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0
43,baseline,198,[H]C1=NC([H])=C(C(N([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],0
43,baseline,199,[H]OC(=O)N([H])C1=NN=C(SC([H])([H])[H])S1,0
43,baseline,200,[H]C([H])([H])SC1=NN=C(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])S1,0
43,baseline,201,[H]OC(=O)OC([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])[H],0
43,baseline,202,[H]OC(=O)C([H])(C(=O)O[H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,203,[H]C1=C([H])C(S(=O)(=O)N([H])[H])=C([H])C([H])=C1OC([H])([H])C([H])([H])[H],0
43,baseline,204,[H]N(C(=O)C([H])([H])[H])C(=S)N([H])C([H])([H])C([H])([H])[H],0
43,baseline,205,[H]N1C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)C1([H])C(Cl)(Cl)Cl,0
43,baseline,206,[H]C([H])([H])C([H])(Cl)C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,207,[H]C1=C([H])C(OC([H])([H])C(=O)N([H])C([H])([H])[H])=C([H])C([H])=C1Cl,0
43,baseline,208,[H]C([H])([H])OC(=O)C([H])([H])C(=O)C([H])([H])[H],0
43,baseline,209,[H]OC([H])([H])C([H])(O[H])C([H])([H])C([H])([H])[H],0
43,baseline,210,[H]C1=C(S(=O)(=O)N([H])C([H])([H])C([H])([H])[H])C(Cl)=NC(Cl)=C1Cl,0
43,baseline,211,[H]OC([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,212,[H]OC([H])([H])C([H])(SC([H])([H])[H])C([H])([H])OC([H])([H])[H],0
43,baseline,213,[H]C1=C([H])C2=C(O1)C([H])=C([H])C([H])=C2OC([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,214,[H]N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,215,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,216,[H]OC([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,217,[H]C1=NC2=C(C(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])=C([H])S2)N1[H],0
43,baseline,218,[H]C1=C([H])C([H])=C([H])C(SC([H])([H])C(=O)OC([H])([H])C([H])([H])[H])=N1,0
43,baseline,219,[H]OC(=O)C([H])([H])C([H])([H])O[H],0
43,baseline,220,[H]C1=C([H])C([H])=C2N=C(SC([H])([H])C([H])([H])C([H])([H])[H])N([H])C2=N1,0
43,baseline,221,[H]C([H])([H])SC([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,222,[H]OC(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0
43,baseline,223,[H]C([H])([H])C([H])(OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,224,[H]C1=C([H])C(C([H])([H])C(=O)C([H])([H])[H])=NN([H])C1=O,0
43,baseline,225,[H]OC([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,226,[H]N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0
43,baseline,227,[H]OC(=O)C([H])([H])Cl,0
43,baseline,228,[H]N([H])C(=O)C([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0
43,baseline,229,[H]C(=O)C([H])(N([H])[H])C([H])([H])[H],0
43,baseline,230,[H]C1=C(Br)SC(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C1[H],0
43,baseline,231,[H]C([H])([H])N1C(=S)SC(C(=O)OC([H])([H])C([H])([H])[H])=C1C([H])([H])C([H])([H])[H],0
43,baseline,232,[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,233,[H]C1([H])OC(=O)C2=C(SC(SC([H])([H])C([H])([H])[H])=N2)S1,0
43,baseline,234,[H]C1=C(C(=O)C([H])([H])[H])OC(OC([H])([H])C([H])([H])[H])=C1C(=O)OC([H])([H])[H],0
43,baseline,235,[H]OC(=O)C([H])([H])[H],0
43,baseline,236,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0
